age,income,marital_status,children,gender,purchase
62,111980,1,2,1,0
65,107314,0,3,1,0
18,56209,1,1,1,1
21,28010,1,3,0,1
21,79618,0,2,0,1
57,99073,0,2,0,0
27,71115,1,3,1,0
37,91299,1,4,0,0
39,39340,1,2,1,1
68,92932,1,4,1,1
54,73121,0,1,0,0
41,34705,1,2,1,1
24,76448,1,3,0,1
42,106823,0,4,1,1
42,45274,0,1,0,0
30,102212,1,0,1,1
19,51075,1,1,0,0
56,73251,1,4,1,1
57,90882,1,2,0,1
41,43417,1,2,0,1
64,116700,0,0,1,0
42,33729,0,4,1,0
35,43836,1,2,0,0
55,76132,0,2,1,0
43,89658,1,4,0,0
31,86272,0,1,0,0
26,46872,1,3,0,1
27,103891,1,1,1,0
38,31465,0,4,0,1
69,99285,1,1,0,0
34,119975,1,2,1,0
69,53374,1,4,1,0
23,38504,1,2,0,0
33,65302,1,2,1,0
65,78503,1,2,1,1
18,35835,0,1,0,0
36,27788,0,3,1,1
53,72547,1,0,0,0
42,44404,1,3,0,0
67,46951,0,0,0,1
69,110707,0,4,0,1
47,58111,0,3,0,0
37,87840,0,0,0,1
37,31909,1,2,0,0
32,119435,1,4,0,1
57,117182,0,3,1,1
50,34281,0,1,0,1
19,38387,0,4,1,1
27,80935,0,2,0,0
50,80565,1,2,1,1
49,109564,0,2,0,1
28,33704,0,0,0,1
41,70859,0,3,0,1
53,29774,1,4,1,1
29,93728,1,3,0,1
68,93064,1,3,1,1
46,118995,0,0,0,0
52,113258,1,0,1,0
18,38931,1,2,1,0
18,112898,0,3,0,1
54,88219,1,0,1,0
23,44919,0,2,0,1
56,100992,1,4,0,1
58,92531,1,0,0,0
35,48954,0,0,0,1
33,91712,0,4,0,1
22,113299,1,4,0,0
59,59366,1,0,0,1
60,25985,0,4,0,0
49,57292,1,4,1,1
19,119131,0,2,1,1
19,95577,0,0,0,0
57,75986,0,4,1,1
59,30413,1,2,1,0
53,50441,1,0,1,1
56,88740,1,0,0,0
29,80857,1,0,1,0
64,20093,1,4,1,1
36,99249,0,4,1,0
45,55235,1,3,0,1
18,56546,0,2,0,1
32,85940,0,3,1,1
53,25037,1,2,0,0
30,45785,0,1,0,0
60,66031,1,3,1,1
38,85911,0,0,0,1
29,101572,0,1,0,1
22,96478,0,1,0,1
24,117796,1,1,1,1
22,36881,1,2,1,0
65,76818,1,4,0,1
21,43757,1,4,1,1
30,29630,0,1,1,0
54,115597,1,4,0,1
58,116087,1,0,0,1
32,90051,0,4,1,0
33,88826,0,2,0,1
38,54330,1,1,1,1
53,82838,0,3,1,1
41,115254,1,0,1,0
33,45036,0,3,0,0
31,116975,1,1,0,1
39,84866,0,1,0,1
66,48250,1,3,1,0
67,117254,0,1,1,0
23,36080,1,1,1,1
59,78812,1,1,1,0
53,76111,1,4,0,0
18,90272,1,4,0,1
49,23466,1,2,1,0
23,40427,1,3,1,0
48,90238,0,0,0,1
18,58406,1,3,0,1
67,60621,0,3,1,1
68,68373,1,2,1,0
54,91070,0,4,1,0
52,67273,1,0,1,1
66,59078,0,0,1,1
47,22987,1,2,0,0
21,41074,0,1,1,1
52,48039,1,3,1,1
60,88828,0,3,1,1
31,58569,0,0,1,1
66,31100,0,3,1,1
57,61294,1,0,0,0
39,110853,0,4,1,0
27,45819,1,4,1,1
18,117526,1,0,0,1
28,28292,1,2,0,0
68,95997,1,3,1,0
61,60444,0,0,0,0
41,110286,1,2,0,0
20,110717,0,4,1,1
52,93330,1,3,1,1
53,40129,0,3,0,1
48,57644,1,4,1,1
21,105728,1,1,1,1
36,62729,0,0,0,1
64,61808,1,2,1,0
53,107496,1,2,0,1
38,115219,1,1,1,1
35,22173,1,2,0,1
68,94890,1,2,0,1
45,106640,1,3,0,0
32,26874,1,0,1,0
59,103099,1,3,0,0
19,110808,0,4,1,0
54,109208,1,3,1,1
28,81761,0,1,1,1
40,104416,1,0,1,0
61,22757,0,1,0,0
58,32120,0,0,1,0
29,43842,0,0,0,0
20,89583,1,0,1,1
69,103971,1,2,0,1
34,72462,0,3,1,0
50,93381,1,2,1,1
18,63864,1,2,1,0
56,85094,0,3,1,0
37,93364,1,1,1,0
64,111014,0,0,1,1
60,41107,0,1,1,0
69,24930,1,1,1,1
58,69756,0,4,0,1
31,77308,1,2,1,1
48,110981,1,0,1,1
42,105371,1,3,1,0
20,40165,1,1,0,1
21,98957,0,4,0,1
48,20100,1,4,0,0
52,73942,1,1,0,0
61,94573,1,1,1,0
31,26037,0,4,1,1
66,74779,0,2,1,1
58,45247,1,4,0,0
26,72817,1,4,1,1
37,44813,1,4,1,1
49,68371,1,2,0,0
26,67354,1,2,1,1
44,116648,0,2,0,0
20,76062,1,3,1,0
21,101941,0,3,1,0
62,42957,0,3,0,1
32,58870,1,3,0,1
50,110512,0,0,1,1
22,49849,1,0,0,1
21,88727,0,0,1,0
63,62661,0,1,1,0
29,60831,1,0,0,1
40,59308,0,1,1,0
31,23418,1,4,0,0
63,94314,1,0,1,1
29,51739,1,2,0,1
34,74198,1,3,0,0
42,61790,1,1,1,1
47,116455,1,4,0,0
39,105125,0,0,0,1
64,41674,0,3,0,0
43,91818,1,2,1,0
34,21337,0,4,1,1
37,56315,0,2,0,0
51,33657,1,0,0,0
58,102307,0,1,0,1
50,25245,1,4,0,1
54,47342,1,0,0,1
24,23922,0,0,1,1
39,21221,1,1,1,0
49,66778,1,1,0,0
31,21924,1,0,1,0
25,76337,1,1,0,0
42,28901,0,4,0,0
33,61407,1,1,0,1
59,69502,0,4,1,0
36,94392,1,0,1,0
58,40099,0,3,1,1
33,114533,0,0,0,0
29,94152,1,0,0,1
56,57028,0,0,0,1
65,23511,1,4,1,1
47,96440,1,3,1,0
19,86209,0,1,1,1
49,54706,0,2,1,1
62,65518,0,4,0,1
42,45329,0,0,1,0
42,92839,1,0,0,0
21,49419,0,2,0,1
36,117268,1,1,1,1
65,63647,0,3,1,0
21,51649,0,0,1,0
60,74429,1,2,1,0
30,113708,0,0,1,0
56,81046,1,2,0,0
53,62798,0,1,0,1
40,80278,0,2,1,1
23,48960,1,0,1,0
41,60738,1,4,0,1
61,91255,1,1,1,0
50,47260,1,2,0,0
29,114617,1,4,0,1
58,47822,1,3,0,0
38,30738,1,3,0,0
28,52308,0,2,1,1
61,32910,1,1,0,0
55,58464,0,0,1,1
46,23404,0,3,1,0
65,81302,1,4,1,1
58,30825,0,4,1,1
20,57010,0,4,1,1
45,70951,1,3,1,0
37,55459,0,2,0,1
43,47724,1,3,0,1
41,91973,0,1,0,1
69,32404,0,1,1,0
64,62477,1,2,0,0
38,95312,0,4,1,1
47,59021,0,3,0,1
21,30194,1,2,0,0
53,95955,1,0,1,0
57,63569,0,1,0,0
27,64465,0,0,1,0
27,105998,1,0,1,1
59,28266,0,3,1,0
41,117876,1,2,0,0
21,108554,1,0,1,0
64,58775,0,0,1,0
44,89140,1,4,0,0
68,88816,1,4,0,1
62,25162,0,0,0,0
21,58386,1,3,1,1
49,54202,0,0,0,1
27,56020,0,1,1,0
28,26448,0,2,0,1
45,67042,1,3,0,0
63,46214,0,4,1,1
25,45353,0,2,1,0
57,27426,0,1,1,0
39,31636,0,3,0,0
51,115977,1,3,1,0
62,110997,1,3,0,0
52,20612,0,4,0,1
52,89722,1,2,1,1
42,111204,1,1,1,1
51,77961,1,0,1,1
23,62506,0,0,1,0
58,106028,1,0,0,0
54,74888,1,2,0,0
18,63233,1,3,1,0
29,47045,1,1,1,0
52,40647,1,4,0,1
23,29120,0,3,0,0
34,78746,1,4,0,1
26,94650,1,3,1,1
19,85635,0,0,1,1
35,76537,0,3,0,1
66,87890,0,0,1,0
53,75060,0,0,0,0
45,65790,1,1,1,1
58,85180,1,1,0,1
54,21608,1,4,1,0
66,74546,1,4,1,1
43,50105,1,2,0,1
21,111032,0,2,0,0
57,93255,1,4,0,1
53,31498,0,1,0,1
68,99483,0,0,1,1
48,50360,0,2,0,1
47,31922,1,1,1,1
67,85219,1,0,0,0
51,68851,0,2,0,0
36,79693,0,1,0,0
35,101920,0,4,1,0
47,79530,0,1,1,0
38,83366,0,2,1,0
20,66947,0,0,0,1
23,63449,1,2,0,0
55,72115,0,3,1,0
30,78530,0,4,1,0
62,22098,0,3,1,0
20,57734,0,2,0,0
65,87604,0,2,0,0
45,92363,1,1,1,0
39,32918,0,1,0,1
57,58372,1,3,1,0
57,42893,0,1,1,0
29,97929,0,1,1,0
40,60642,1,3,0,0
48,109740,0,1,0,1
35,105110,1,3,1,1
24,34881,1,0,1,1
25,112311,1,3,0,0
36,56741,1,1,1,0
46,51782,1,4,1,0
61,81185,1,4,1,0
37,85802,0,3,1,0
67,64038,1,4,0,0
59,118173,0,4,1,0
47,90918,0,1,1,1
64,61574,1,0,0,1
39,114118,1,0,1,1
27,65387,1,1,0,1
43,82834,0,0,1,0
68,113566,1,3,0,1
50,104338,1,0,1,1
45,108754,0,4,0,1
27,118099,1,1,1,1
46,47906,0,2,1,1
61,93036,1,4,0,0
35,28819,0,4,0,1
59,111080,1,3,0,1
18,24485,0,2,1,1
40,108692,1,3,1,1
34,77525,1,1,0,0
60,55051,0,2,0,0
54,85323,1,1,1,0
48,116847,1,0,0,1
42,31326,0,4,0,1
21,46956,0,0,0,1
69,67663,1,1,0,0
26,108652,0,3,0,0
45,115893,1,4,0,0
47,69272,1,4,0,0
64,99634,0,2,0,1
41,67449,0,0,1,0
50,110637,1,1,0,0
37,56444,0,1,0,1
26,73484,1,1,1,0
25,95881,0,1,1,0
41,31477,1,3,1,0
31,64550,1,1,1,0
35,105552,1,3,0,0
18,46152,1,3,0,0
29,92862,1,2,1,1
46,27557,1,2,1,1
54,97285,1,0,1,1
43,64069,0,1,0,1
50,117851,0,3,1,1
60,101521,0,2,1,1
32,32383,1,1,0,1
40,67456,0,2,0,0
46,55312,0,2,1,0
38,67312,0,0,0,0
36,91968,0,3,1,0
22,52830,1,3,1,0
40,47018,1,2,0,0
53,79788,0,1,1,0
37,50301,1,3,1,1
25,101728,1,0,1,0
26,115645,1,3,0,1
31,87559,1,0,0,0
23,93878,1,1,0,1
18,38821,0,2,1,0
26,55620,1,1,0,1
33,49267,0,1,1,0
33,69279,1,0,1,1
29,119812,0,1,1,0
22,35708,0,2,1,0
57,64785,1,3,0,0
46,111219,0,0,1,1
63,54790,1,0,1,0
44,45735,0,1,1,0
28,105172,0,1,1,1
64,20592,1,1,0,1
67,108477,0,4,1,1
45,102944,1,2,1,0
69,40183,0,1,1,1
53,116975,1,4,1,0
59,85354,0,0,1,1
36,85276,0,2,0,1
52,57437,1,4,0,1
69,31408,1,0,0,1
48,30096,0,3,1,0
61,62441,1,3,0,1
36,52884,0,2,1,0
63,78085,0,4,1,0
41,60703,0,4,1,1
19,119128,1,0,0,1
24,82782,1,3,1,1
60,108624,1,3,1,0
66,41649,0,1,0,0
48,79253,0,4,1,1
34,56361,0,2,1,1
44,65548,1,3,1,1
53,74462,0,2,1,0
67,46703,1,2,0,1
60,76526,1,1,0,1
27,44993,1,3,1,0
62,79268,1,2,1,1
31,47536,1,3,0,0
24,55044,0,1,0,1
56,87399,0,0,1,1
57,76638,0,0,0,0
26,85371,0,0,0,1
31,93735,1,2,1,0
25,59421,1,2,0,1
34,61750,1,2,0,0
40,54658,0,3,0,0
33,112318,0,4,0,1
43,79126,1,3,0,0
26,119920,0,0,0,1
53,78523,0,4,1,1
24,35919,0,1,1,1
35,73743,1,4,1,1
25,53394,0,1,0,0
38,34859,1,2,0,1
43,75255,0,0,1,1
20,97799,1,2,0,1
34,45374,0,3,1,0
68,87674,0,2,0,0
63,51010,1,2,1,1
41,112726,1,4,1,1
42,111985,1,1,1,1
22,43203,0,0,1,1
54,59789,1,2,1,1
62,32912,0,2,1,0
67,57285,1,1,0,0
41,49764,0,3,0,1
48,94165,0,3,0,1
43,47661,0,4,1,0
38,75397,1,1,0,0
51,49459,0,2,1,0
55,64296,1,3,0,1
41,27008,0,3,1,0
45,38129,0,0,1,1
47,49893,0,0,0,1
51,47004,0,4,1,1
69,93828,1,3,1,0
69,86945,0,3,1,1
40,119069,0,1,0,0
25,107197,1,0,1,0
59,90533,0,0,0,0
67,44528,1,3,1,0
27,73478,1,4,1,0
18,65560,0,3,1,1
37,91592,0,2,1,0
54,88246,1,0,1,1
35,105022,1,0,1,1
38,34591,1,1,0,1
66,43059,1,4,0,1
21,62756,1,1,1,1
60,92554,1,0,1,1
19,104554,1,4,1,0
38,52891,1,3,1,1
54,51958,0,3,0,0
22,59228,1,4,0,0
34,80133,0,2,0,0
66,115482,0,3,1,0
65,38013,1,1,0,0
28,49353,1,3,0,1
63,91208,0,3,1,1
58,79580,0,2,0,0
48,29425,1,3,0,0
45,49363,1,1,0,0
61,54088,1,1,1,0
49,29694,1,1,0,1
38,60542,0,0,1,0
24,64709,0,3,1,0
27,73630,0,3,0,0
45,117552,0,4,0,1
65,27011,0,2,0,0
53,76487,0,0,0,1
